i_connect_no,i_site_code,i_unit_num,i_giku_num,c_tag_no,c_tag_desc,c_category1,c_category2,c_category3,d_disp_range_lower,d_disp_range_upper,c_unit,i_decimal_place,i_signal_type,c_unit2,d_cnv1,d_cnv2,i_cdbi,c_point_id,c_retu text,i_off_set,i_kind_num,i_auto_flag,d_dead_band,i_xid bigint
1,1,2,0,SB_SPARE_3944,SPARE_3944,,0,,0,1,,0,1,,1,1,3944,SB_010200010000003944,data43,0,1,1,0,3944
1,1,2,0,SB_SPARE_3945,SPARE_3945,,0,,0,1,,0,1,,1,1,3945,SB_010200010000003945,data44,0,1,1,0,3945
1,1,2,0,SB_SPARE_3946,SPARE_3946,,0,,0,1,,0,1,,1,1,3946,SB_010200010000003946,data45,0,1,1,0,3946
1,1,2,0,SB_SPARE_3947,SPARE_3947,,0,,0,1,,0,1,,1,1,3947,SB_010200010000003947,data46,0,1,1,0,3947
1,1,2,0,SB_SPARE_3948,SPARE_3948,,0,,0,1,,0,1,,1,1,3948,SB_010200010000003948,data47,0,1,1,0,3948
1,1,2,0,SB_SPARE_3949,SPARE_3949,,0,,0,1,,0,1,,1,1,3949,SB_010200010000003949,data48,0,1,1,0,3949
1,1,2,0,SB_SPARE_3950,SPARE_3950,,0,,0,1,,0,1,,1,1,3950,SB_010200010000003950,data49,0,1,1,0,3950
1,1,2,0,SB_SPARE_3951,SPARE_3951,,0,,0,1,,0,1,,1,1,3951,SB_010200010000003951,data50,0,1,1,0,3951
1,1,2,0,SB_SPARE_3952,SPARE_3952,,0,,0,1,,0,1,,1,1,3952,SB_010200010000003952,data51,0,1,1,0,3952
1,1,2,0,SB_SPARE_3953,SPARE_3953,,0,,0,1,,0,1,,1,1,3953,SB_010200010000003953,data52,0,1,1,0,3953
1,1,2,0,SB_SPARE_3954,SPARE_3954,,0,,0,1,,0,1,,1,1,3954,SB_010200010000003954,data53,0,1,1,0,3954
1,1,2,0,SB_SPARE_3955,SPARE_3955,,0,,0,1,,0,1,,1,1,3955,SB_010200010000003955,data54,0,1,1,0,3955
1,1,2,0,SB_SPARE_3956,SPARE_3956,,0,,0,1,,0,1,,1,1,3956,SB_010200010000003956,data55,0,1,1,0,3956
1,1,2,0,SB_SPARE_3957,SPARE_3957,,0,,0,1,,0,1,,1,1,3957,SB_010200010000003957,data56,0,1,1,0,3957
1,1,2,0,SB_SPARE_3958,SPARE_3958,,0,,0,1,,0,1,,1,1,3958,SB_010200010000003958,data57,0,1,1,0,3958
1,1,2,0,SB_SPARE_3959,SPARE_3959,,0,,0,1,,0,1,,1,1,3959,SB_010200010000003959,data58,0,1,1,0,3959
1,1,2,0,SB_SPARE_3960,SPARE_3960,,0,,0,1,,0,1,,1,1,3960,SB_010200010000003960,data59,0,1,1,0,3960
1,1,2,0,SB_SPARE_3961,SPARE_3961,,0,,0,1,,0,1,,1,1,3961,SB_010200010000003961,data60,0,1,1,0,3961
1,1,2,0,SB_SPARE_3962,SPARE_3962,,0,,0,1,,0,1,,1,1,3962,SB_010200010000003962,data61,0,1,1,0,3962
1,1,2,0,SB_SPARE_3963,SPARE_3963,,0,,0,1,,0,1,,1,1,3963,SB_010200010000003963,data62,0,1,1,0,3963
1,1,2,0,SB_SPARE_3964,SPARE_3964,,0,,0,1,,0,1,,1,1,3964,SB_010200010000003964,data63,0,1,1,0,3964
1,1,2,0,SB_SPARE_3965,SPARE_3965,,0,,0,1,,0,1,,1,1,3965,SB_010200010000003965,data64,0,1,1,0,3965
1,1,2,0,SB_SPARE_3966,SPARE_3966,,0,,0,1,,0,1,,1,1,3966,SB_010200010000003966,data65,0,1,1,0,3966
1,1,2,0,SB_SPARE_3967,SPARE_3967,,0,,0,1,,0,1,,1,1,3967,SB_010200010000003967,data66,0,1,1,0,3967
1,1,2,0,SB_SPARE_3968,SPARE_3968,,0,,0,1,,0,1,,1,1,3968,SB_010200010000003968,data67,0,1,1,0,3968
1,1,2,0,SB_SPARE_3969,SPARE_3969,,0,,0,1,,0,1,,1,1,3969,SB_010200010000003969,data68,0,1,1,0,3969
1,1,2,0,SB_SPARE_3970,SPARE_3970,,0,,0,1,,0,1,,1,1,3970,SB_010200010000003970,data69,0,1,1,0,3970
1,1,2,0,SB_SPARE_3971,SPARE_3971,,0,,0,1,,0,1,,1,1,3971,SB_010200010000003971,data70,0,1,1,0,3971
1,1,2,0,SB_SPARE_3972,SPARE_3972,,0,,0,1,,0,1,,1,1,3972,SB_010200010000003972,data71,0,1,1,0,3972
1,1,2,0,SB_SPARE_3973,SPARE_3973,,0,,0,1,,0,1,,1,1,3973,SB_010200010000003973,data72,0,1,1,0,3973
1,1,2,0,SB_SPARE_3974,SPARE_3974,,0,,0,1,,0,1,,1,1,3974,SB_010200010000003974,data73,0,1,1,0,3974
1,1,2,0,SB_SPARE_3975,SPARE_3975,,0,,0,1,,0,1,,1,1,3975,SB_010200010000003975,data74,0,1,1,0,3975
1,1,2,0,SB_SPARE_3976,SPARE_3976,,0,,0,1,,0,1,,1,1,3976,SB_010200010000003976,data75,0,1,1,0,3976
1,1,2,0,SB_SPARE_3977,SPARE_3977,,0,,0,1,,0,1,,1,1,3977,SB_010200010000003977,data76,0,1,1,0,3977
1,1,2,0,SB_SPARE_3978,SPARE_3978,,0,,0,1,,0,1,,1,1,3978,SB_010200010000003978,data77,0,1,1,0,3978
1,1,2,0,SB_SPARE_3979,SPARE_3979,,0,,0,1,,0,1,,1,1,3979,SB_010200010000003979,data78,0,1,1,0,3979
1,1,2,0,SB_SPARE_3980,SPARE_3980,,0,,0,1,,0,1,,1,1,3980,SB_010200010000003980,data79,0,1,1,0,3980
