No,PID,ItemID,Description,Type,Unit,DP,disp_lower,disp_upper,dcsTagNo,valid,sufixx,org_TagNo(cut SB_/.PVor.OUT),-suffix,"follows are 0,_STATUS or SPARE_ or _SPARE or _STS or -SP-",raw&exist -OUT=0,not in ABJ=0.(vlookup ABJ_DCS_IO)
3409,SB_010200010000003409,SB_30BGU10GT100-CFS.OUT,6.0KV SWGR OUTG CHP TR-A CB CLS,BOOL,,,0,0,30BGU10GT100-CFS,1,.OUT,30BGU10GT100-CFS,-CFS,30BGU10GT100-CFS,-1,30BGU10GT100-CFS
3410,SB_010200010000003410,SB_30BGU10GT100XB23.OUT,6.0KV SWGR OUTG CHP TR-A CB E-FAIL,BOOL,,,0,0,30BGU10GT100XB23,1,.OUT,30BGU10GT100XB23,,30BGU10GT100XB23,-1,30BGU10GT100XB23
3411,SB_010200010000003411,SB_30BGU10GT100-ELF.OUT,6.0KV SWGR OUTG CHP TR-A CB E-FAIL,BOOL,,,0,0,30BGU10GT100-ELF,1,.OUT,30BGU10GT100-ELF,-ELF,30BGU10GT100-ELF,-1,30BGU10GT100-ELF
3412,SB_010200010000003412,SB_30BGU10GT100-OFS.OUT,6.0KV SWGR OUTG CHP TR-A CB OPN,BOOL,,,0,0,30BGU10GT100-OFS,1,.OUT,30BGU10GT100-OFS,-OFS,30BGU10GT100-OFS,-1,30BGU10GT100-OFS
3413,SB_010200010000003413,SB_30BGU10GT100-CPS.OUT,6.0KV SWGR OUTG CHP TR-A CB PMT,BOOL,,,0,0,30BGU10GT100-CPS,1,.OUT,30BGU10GT100-CPS,-CPS,30BGU10GT100-CPS,-1,30BGU10GT100-CPS
3414,SB_010200010000003414,SB_30BGU10GT100-ROS.OUT,6.0KV SWGR OUTG CHP TR-A CB RO,BOOL,,,0,0,30BGU10GT100-ROS,1,.OUT,30BGU10GT100-ROS,-ROS,30BGU10GT100-ROS,-1,30BGU10GT100-ROS
3415,SB_010200010000003415,SB_30BGU10GT100-CLE.OUT,6.0KV SWGR OUTG CHP TR-A CB RTE-CL,BOOL,,,0,0,30BGU10GT100-CLE,1,.OUT,30BGU10GT100-CLE,-CLE,30BGU10GT100-CLE,-1,30BGU10GT100-CLE
3416,SB_010200010000003416,SB_30BGU10GT100-OPE.OUT,6.0KV SWGR OUTG CHP TR-A CB RTE-OP,BOOL,,,0,0,30BGU10GT100-OPE,1,.OUT,30BGU10GT100-OPE,-OPE,30BGU10GT100-OPE,-1,30BGU10GT100-OPE
3417,SB_010200010000003417,SB_30BGU10GT100XB20.OUT,6.0KV SWGR OUTG CHP TR-A CB TST POS,BOOL,,,0,0,30BGU10GT100XB20,0,.OUT,30BGU10GT100XB20,,30BGU10GT100XB20,0,30BGU10GT100XB20
3418,SB_010200010000003418,SB_30BGU10GT100XB20-OUT.OUT,6.0KV SWGR OUTG CHP TR-A CB TST POS,BOOL,,,0,0,30BGU10GT100XB20-OUT,1,.OUT,30BGU10GT100XB20-OUT,-OUT,30BGU10GT100XB20-OUT,1,30BGU10GT100XB20-OUT
3419,SB_010200010000003419,SB_30BGU20GT100-ABN.OUT,6.0KV SWGR OUTG CHP TR-B CB ABN,BOOL,,,0,0,30BGU20GT100-ABN,1,.OUT,30BGU20GT100-ABN,-ABN,30BGU20GT100-ABN,-1,30BGU20GT100-ABN
3420,SB_010200010000003420,SB_30BGU20GT100XB18.OUT,6.0KV SWGR OUTG CHP TR-B CB AVAIL,BOOL,,,0,0,30BGU20GT100XB18,0,.OUT,30BGU20GT100XB18,,30BGU20GT100XB18,0,30BGU20GT100XB18
3421,SB_010200010000003421,SB_30BGU20GT100XB18-OUT.OUT,6.0KV SWGR OUTG CHP TR-B CB AVAIL,BOOL,,,0,0,30BGU20GT100XB18-OUT,1,.OUT,30BGU20GT100XB18-OUT,-OUT,30BGU20GT100XB18-OUT,1,30BGU20GT100XB18-OUT
3422,SB_010200010000003422,SB_30BGU20GT100XB02.OUT,6.0KV SWGR OUTG CHP TR-B CB CLS,BOOL,,,0,0,30BGU20GT100XB02,1,.OUT,30BGU20GT100XB02,,30BGU20GT100XB02,-1,30BGU20GT100XB02
3423,SB_010200010000003423,SB_30BGU20GT100-CFS.OUT,6.0KV SWGR OUTG CHP TR-B CB CLS,BOOL,,,0,0,30BGU20GT100-CFS,1,.OUT,30BGU20GT100-CFS,-CFS,30BGU20GT100-CFS,-1,30BGU20GT100-CFS
3424,SB_010200010000003424,SB_30BGU20GT100XB23.OUT,6.0KV SWGR OUTG CHP TR-B CB E-FAIL,BOOL,,,0,0,30BGU20GT100XB23,1,.OUT,30BGU20GT100XB23,,30BGU20GT100XB23,-1,30BGU20GT100XB23
3425,SB_010200010000003425,SB_30BGU20GT100-ELF.OUT,6.0KV SWGR OUTG CHP TR-B CB E-FAIL,BOOL,,,0,0,30BGU20GT100-ELF,1,.OUT,30BGU20GT100-ELF,-ELF,30BGU20GT100-ELF,-1,30BGU20GT100-ELF
3426,SB_010200010000003426,SB_30BGU20GT100-OFS.OUT,6.0KV SWGR OUTG CHP TR-B CB OPN,BOOL,,,0,0,30BGU20GT100-OFS,1,.OUT,30BGU20GT100-OFS,-OFS,30BGU20GT100-OFS,-1,30BGU20GT100-OFS
